station,zone,postcode,lat,long,easting,northing,value
Purley Oaks,6,CR2 0ND,51.346989,-0.098801,532503,162594,55
Putney,"2,3",SW15 1RT,51.460953,-0.216589,523992,175061,148
Putney Bridge,2,SW6 3UH,51.467865,-0.209351,524476,175842,20
Queens Park,2,NW6 6HJ,51.534313,-0.204784,524612,183239,55
Queens Road Peckham,2,SE15 2JR,51.474285,-0.057341,535015,176825,55
Queensbury,4,HA8 5NP,51.593883,-0.286317,518802,189728,148
Queenstown Road,2,SW8 3RX,51.474959,-0.147341,528763,176738,3
Queensway,1,W2 4SS,51.510449,-0.187405,525883,180615,7
Radlett,,WD7 7AP,51.685413,-0.317973,516375,199856,55
Rainham,6,RM13 9YH,51.51734,0.190706,552097,182099,148
Ravensbourne,4,BR3 5HE,51.41387,-0.006923,538699,170201,7
Ravenscourt Park,2,W6 0UG,51.494068,-0.235955,522558,178711,148
Rayners Lane,5,HA5 5EG,51.575397,-0.371046,512979,187538,148
Raynes Park,4,SW20 8NE,51.409375,-0.229899,523206,169303,7
Rectory Road,2,N16 7QB,51.558763,-0.068371,534001,186199,3
Redbridge,4,IG4 5BG,51.576367,0.045408,541833,188371,3
Reedham,6,CR8 2DG,51.331442,-0.123388,530835,160821,20
Reeves Corner,"3,4,5,6",CR0 1XP,51.375277,-0.106365,531895,165726,20
Regents Park,1,NW1 5HA,51.523811,-0.14533,528765,182174,7
Richmond,4,TW9 2AZ,51.463233,-0.301725,518072,175174,20
Rickmansworth,7,WD3 1QY,51.640323,-0.47367,505717,194605,3
Riddlesdown,6,CR8 1HN,51.332675,-0.099479,532497,161001,55
Roding Valley,4,IG9 6LN,51.616956,0.044041,541612,192882,20
Romford,6,RM1 1SX,51.574642,0.18307,551377,188455,55
Rotherhithe,2,SE16 4LF,51.501595,-0.052952,535239,179870,148
Royal Albert,3,E16 2QD,51.508494,0.045192,542029,180823,55
Royal Oak,2,W2 6ET,51.518294,-0.188809,525764,181485,7
Royal Victoria,3,E16 1DE,51.509055,0.01798,540139,180833,20
Ruislip,6,HA4 8LD,51.572162,-0.42122,509510,187102,7
Ruislip Gardens,5,HA4 6LG,51.55996,-0.40928,510367,185763,7
Ruislip Manor,6,HA4 9AA,51.573452,-0.412835,510088,187258,55
Russell Square,1,WC1N 1LG,51.523013,-0.124576,530207,182122,20
Sanderstead,6,CR2 0PL,51.348246,-0.093694,532855,162743,20
Sandilands,"3,4,5,6",CR0 5PN,51.375022,-0.078012,533869,165749,148
Selhurst,4,SE25 6LL,51.392186,-0.089885,532993,167636,20
Seven Kings,4,IG3 8RE,51.563993,0.096334,545401,187095,7
Seven Sisters,3,N15 5LA,51.583362,-0.072452,533646,188927,7
Shadwell,2,E1 2QE,51.5113,-0.056905,534936,180942,20
Shenfield,7,CM15 8JD,51.630873,0.329967,561356,195022,55
Shepherds Bush,2,W12 8LH,51.504532,-0.218505,523741,179904,55
Shepherds Bush Market,2,W12 7JD,51.505881,-0.227386,523121,180039,148
Shoreditch High Street,1,E1 6AW,51.523467,-0.077073,533501,182258,148
Shortlands,4,BR2 0JA,51.405602,0.002782,539399,169300,7
Sidcup,5,DA15 7AW,51.434398,0.10333,546300,172698,148
Silver Street,4,N18 1QX,51.615242,-0.072575,533544,192472,55
Slade Green,6,DA8 2NX,51.467748,0.190533,552250,176584,3
Sloane Square,1,SW1W 8BB,51.49236,-0.156474,528080,178657,3
